Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth2,20,2024-11-18 06:50:39.211,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,227,MDNS
s1-eth2,21,2024-11-18 06:50:39.461,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,227,MDNS
s1-eth3,10,2024-11-18 06:50:39.464,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,25,2024-11-18 06:50:39.464,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,26,2024-11-18 06:50:39.464,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth3,11,2024-11-18 06:50:39.464,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth1,27,2024-11-18 06:50:39.466,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,12,2024-11-18 06:50:39.466,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,13,2024-11-18 06:50:39.478,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,28,2024-11-18 06:50:39.478,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,29,2024-11-18 06:50:39.482,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0011
s1-eth3,14,2024-11-18 06:50:39.482,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0011
s1-eth3,15,2024-11-18 06:50:39.483,192.168.1.30,192.168.1.10,TCP,66,44818 → 46272 0x0011
s1-eth1,30,2024-11-18 06:50:39.483,192.168.1.30,192.168.1.10,TCP,66,44818 → 46272 0x0011
s1-eth1,31,2024-11-18 06:50:39.483,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth3,16,2024-11-18 06:50:39.483,192.168.1.10,192.168.1.30,TCP,66,46272 → 44818 0x0010
s1-eth2,22,2024-11-18 06:50:39.661,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,215,MDNS
s1-eth2,23,2024-11-18 06:50:39.842,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,107,MDNS
s1-eth1,32,2024-11-18 06:50:40.066,fe80::98de:5bff:fea6:a8b9,ff02::fb,MDNS,215,MDNS
s1-eth3,17,2024-11-18 06:50:40.132,fe80::d0e5:f6ff:fe46:4fd5,ff02::fb,MDNS,215,MDNS
s1-eth1,33,2024-11-18 06:50:40.440,192.168.1.10,192.168.1.20,TCP,74,54966 → 44818 0x0002
s1-eth1,34,2024-11-18 06:50:40.440,192.168.1.20,192.168.1.10,TCP,74,44818 → 54966 0x0012
s1-eth1,35,2024-11-18 06:50:40.440,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0010
s1-eth1,36,2024-11-18 06:50:40.470,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,37,2024-11-18 06:50:40.470,192.168.1.20,192.168.1.10,TCP,66,44818 → 54966 0x0010
s1-eth1,38,2024-11-18 06:50:40.473,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,39,2024-11-18 06:50:40.474,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0010
s1-eth2,24,2024-11-18 06:50:40.440,192.168.1.10,192.168.1.20,TCP,74,54966 → 44818 0x0002
s1-eth2,25,2024-11-18 06:50:40.440,192.168.1.20,192.168.1.10,TCP,74,44818 → 54966 0x0012
s1-eth2,26,2024-11-18 06:50:40.440,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0010
s1-eth1,40,2024-11-18 06:50:40.475,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,41,2024-11-18 06:50:40.492,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,42,2024-11-18 06:50:40.497,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0011
s1-eth2,27,2024-11-18 06:50:40.470,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,43,2024-11-18 06:50:40.497,192.168.1.20,192.168.1.10,TCP,66,44818 → 54966 0x0011
s1-eth2,28,2024-11-18 06:50:40.470,192.168.1.20,192.168.1.10,TCP,66,44818 → 54966 0x0010
s1-eth1,44,2024-11-18 06:50:40.497,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0010
s1-eth2,29,2024-11-18 06:50:40.473,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,30,2024-11-18 06:50:40.474,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0010
s1-eth2,31,2024-11-18 06:50:40.475,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,32,2024-11-18 06:50:40.492,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,33,2024-11-18 06:50:40.497,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0011
s1-eth2,34,2024-11-18 06:50:40.497,192.168.1.20,192.168.1.10,TCP,66,44818 → 54966 0x0011
