Time,MV101,P101,LIT101,LIT301,FIT101,FIT201
0,1,0,0.809444444444445,0.828703703703314,2.55,0.0
0,1,0,0.818888888888889,0.824166666666277,2.55,0.0
0,1,0,0.828333333333333,0.81962962962924,2.55,0.0
0,1,0,0.837777777777778,0.815092592592203,2.55,0.0
0,1,0,0.847222222222222,0.810555555555166,2.55,0.0
0,1,0,0.856666666666667,0.806018518518129,2.55,0.0
0,1,0,0.866111111111111,0.801481481481092,2.55,0.0
0,1,0,0.875555555555556,0.796944444444055,2.55,0.0
0,1,0,0.885,0.796944444444055,2.55,0.0
0,1,0,0.894444444444444,0.796944444444055,2.55,0.0
0,1,0,0.903888888888889,0.796944444444055,2.55,0.0
0,1,0,0.913333333333333,0.796944444444055,2.55,0.0
0,1,0,0.922777777777778,0.796944444444055,2.55,0.0
0,1,0,0.932222222222222,0.796944444444055,2.55,0.0
0,1,0,0.941666666666667,0.796944444444055,2.55,0.0
0,1,0,0.951111111111111,0.796944444444055,2.55,0.0
0,1,0,0.960555555555556,0.796944444444055,2.55,0.0
0,1,0,0.97,0.796944444444055,2.55,0.0
0,1,0,0.979444444444444,0.796944444444055,2.55,0.0
0,1,0,0.988888888888889,0.796944444444055,2.55,0.0
0,1,0,0.998333333333333,0.796944444444055,2.55,0.0
0,1,0,1.00777777777778,0.796944444444055,2.55,0.0
0,1,0,1.01722222222222,0.796944444444055,2.55,0.0
0,1,0,1.02666666666667,0.796944444444055,2.55,0.0
0,1,0,1.03611111111111,0.796944444444055,2.55,0.0
0,1,0,1.04555555555556,0.796944444444055,2.55,0.0
0,1,0,1.055,0.796944444444055,2.55,0.0
0,1,0,1.06444444444444,0.796944444444055,2.55,0.0
0,1,0,1.07388888888889,0.796944444444055,2.55,0.0
0,1,0,1.08333333333333,0.796944444444055,2.55,0.0
0,1,0,1.09277777777778,0.796944444444055,2.55,0.0
0,1,0,1.10222222222222,0.796944444444055,2.55,0.0
0,1,0,1.11166666666667,0.796944444444055,2.55,0.0
